COMMAND   PID     USER   FD   TYPE DEVICE SIZE/OFF    NODE NAME
python  15047 khushiii  cwd    DIR   0,37     1534 1979616 /home/khushiii/vikaas
python  15047 khushiii  rtd    DIR   0,38      178     256 /
python  15047 khushiii  txt    REG   0,37 17504824 2141392 /home/khushiii/.conda/envs/vikaas_ppe/bin/python3.10
python  15047 khushiii  mem    REG   0,36          2150349 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/pillow.libs/libxcb-64009ff3.so.1.1.0 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2152088 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/numpy.libs/libquadmath-96973f99-934c22de.so.0.0.0 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2175015 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/torchvision.libs/libsharpyuv.994c9d2c.so.0 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36            38351 /usr/lib64/libnss_mdns4_minimal.so.2 (path dev=0,38)
python  15047 khushiii  mem    REG   0,36            37656 /usr/lib64/libcap.so.2.76 (path dev=0,38)
python  15047 khushiii  mem    REG   0,36          2171230 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/torch/lib/libtorch.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36            37185 /usr/lib64/libGL.so.1.7.0 (path dev=0,38)
python  15047 khushiii  mem    REG   0,36          2158319 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/opencv_python.libs/libavif-cbf1e83c.so.16.3.0 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2152086 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/numpy.libs/libgfortran-040039e1-0352e75f.so.5.0.0 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2150314 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/PIL/_imagingft.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2140730 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/lib-dynload/_posixshmem.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2139624 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/lib-dynload/cmath.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2171229 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/torch/lib/libshm.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36            37368 /usr/lib64/libXext.so.6.4.0 (path dev=0,38)
python  15047 khushiii  mem    REG   0,36          2137663 /home/khushiii/.conda/envs/vikaas_ppe/lib/libstdc++.so.6.0.34 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36            37189 /usr/lib64/libGLX.so.0.0.0 (path dev=0,38)
python  15047 khushiii  mem    REG   0,36            38853 /usr/lib64/libxcb.so.1.1.0 (path dev=0,38)
python  15047 khushiii  mem    REG   0,36          2158329 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/opencv_python.libs/libswresample-02b1114a.so.6.1.100 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2152087 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/numpy.libs/libscipy_openblas64_-56d6093b.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2139825 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/lib-dynload/_multiprocessing.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2159784 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/torch/_C.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36           458037 /usr/lib64/librt.so.1 (path dev=0,38)
python  15047 khushiii  mem    REG   0,36          2171278 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/torch/lib/libtorch_global_deps.so (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2158308 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/opencv_python.libs/libQt5Test-0e30c269.so.5.15.18 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2158326 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/opencv_python.libs/libpng16-1b998e9d.so.16.53.0 (path dev=0,37)
python  15047 khushiii  mem    REG   0,36          2151503 /home/khushiii/.conda/envs/vikaas_ppe/lib/python3.10/site-packages/numpy/linalg/_umath_linalg.cpython-310-x86_64-linux-gnu.so (path dev=0,37)
